"S0858","NYAMASANDA","PUBLIC","tz-ma"
"S0859","RANGWI","PUBLIC","tz-tn"
"S0860","SEUTA","PUBLIC","tz-tn"
"S0861","NELSON-MANDELA","PUBLIC","tz-mo"
"S0863","MWADUI TECHNICAL","PUBLIC","tz-sh"
"S0864","NAHIMBA","PUBLIC","tz-rv"
"S0865","IGOTA","PUBLIC","tz-mo"
"S0866","NTENGA","PUBLIC","tz-kl"
"S0868","AWET","PUBLIC","tz-as"
"S0869","MBONI","PUBLIC","tz-kl"
"S0870","KILANGALANGA","PUBLIC","tz-pw"
"S0871","KABALE","PUBLIC","tz-kr"
"S0872","NDUNGU","PUBLIC","tz-kl"
"S0873","MAKOMU","PUBLIC","tz-kl"
"S0874","MURRAY","PUBLIC","tz-my"
"S0875","GONJA","PUBLIC","tz-kl"
"S0877","KILIMANGWIDO","PUBLIC","tz-tn"
"S0878","MILENGWELENGWE","PUBLIC","tz-mo"
"S0879","KATURU","PUBLIC","tz-ma"
"S0880","KAIGARA","PUBLIC","tz-kr"
"S0881","MANGA","PUBLIC","tz-ma"
"S0884","MAMBWE","PUBLIC","tz-rk"
"S0885","KANADI","PUBLIC","tz-si"
"S0886","SEMKIWA","PUBLIC","tz-tn"
"S0887","INYONGA","PUBLIC","tz-ka"
"S0888","LANG'ATABORA","PUBLIC","tz-kl"
"S0890","IWALANJE","PUBLIC","tz-mb"
"S0891","KUKIRANGO","PUBLIC","tz-ma"
"S0892","MELELA","PUBLIC","tz-mo"
"S0893","MAGILA","PUBLIC","tz-tn"
"S0894","MATYAZO","PUBLIC","tz-km"
"S0895","MWAYA","PUBLIC","tz-mo"
"S0901","KISIWANI","PUBLIC","tz-kl"
"S0903","MIKUMI","PUBLIC","tz-mo"
"S0904","KONGWA","PUBLIC","tz-do"
"S0905","SONI","PUBLIC","tz-tn"
"S0906","VUDOI","PUBLIC","tz-kl"
"S0907","ZINGIBARI","PUBLIC","tz-tn"
"S0908","LANZONI","PUBLIC","tz-tn"
"S0910","INCHUGU","PUBLIC","tz-ma"
"S0911","TAMOTA","PUBLIC","tz-tn"
"S0912","BOGWE","PUBLIC","tz-km"
"S0913","USONGWE","PUBLIC","tz-mb"
"S0914","MUYAMA","PUBLIC","tz-km"
"S0915","MWELI","PUBLIC","tz-sh"
"S0916","CHALAO","PUBLIC","tz-kl"
"S0917","IHEMBE","PUBLIC","tz-kr"
"S0918","KIMNYAKI","PUBLIC","tz-as"
"S0919","NDURUMA","PUBLIC","tz-as"
"S0920","PAKULA","PUBLIC","tz-kl"
"S0921","DR SALMIN AMOUR","PUBLIC","tz-sd"
"S0922","MWINYI","PUBLIC","tz-pw"
"S0924","IKUNGI","PUBLIC","tz-sd"
"S0925","KASOMA","PUBLIC","tz-ma"
"S0926","KOMAKYA","PUBLIC","tz-kl"
"S0927","LANGASANI","PUBLIC","tz-kl"
"S0928","GIDAS","PUBLIC","tz-my"
"S0929","FUNGUNI","PUBLIC","tz-tn"
"S0931","ILKIDING'A","PUBLIC","tz-as"
"S0932","KITULI","PUBLIC","tz-sh"
"S0933","BASHNET","PUBLIC","tz-my"
